seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
49771,QQQ,1603323626744,283.4,200,127092,283.42,283.47,0,0,0,0,0,0,1,0,0,10/21/2020 7:40:26 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49772,QQQ,1603323626745,283.39,100,127093,283.42,283.47,0,0,0,0,0,0,1,0,0,10/21/2020 7:40:26 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49773,QQQ,1603323627818,283.44,5,127094,283.39,283.46,0,0,0,0,0,0,3,0,0,10/21/2020 7:40:27 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49774,QQQ,1603323630314,283.43,1,127095,283.42,283.46,0,0,0,0,0,0,2,0,0,10/21/2020 7:40:30 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49775,QQQ,1603323631154,283.47,200,127096,283.41,283.47,0,0,0,0,0,0,4,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49776,QQQ,1603323631154,283.47,200,127097,283.41,283.47,0,0,0,0,0,0,4,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49777,QQQ,1603323631154,283.48,200,127098,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49778,QQQ,1603323631155,283.48,200,127099,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49779,QQQ,1603323631155,283.48,200,127100,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49780,QQQ,1603323631155,283.48,200,127101,283.41,283.47,0,0,0,0,0,0,5,0,0,10/21/2020 7:40:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
